index;barcode;title;author;isbn;complete_edition;date_of_publication;keep
218;EM000005588299;Die Steuergesetze des Bundes Edition Zürich (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze und der steuerrechtlichen Gesetzgebung des Kantons Zürich;Schweiz;3905901137;Edition Zürich, Ausgabe 2005, [5. Auflage];2005;
219;EM000005208064;Die Steuergesetze des Bundes Edition Zürich (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze und der steuerrechtlichen Gesetzgebung des Kantons Zürich;Schweiz;3905901080;Edition Zürich, Ausgabe 2004, [4. Auflage];2004;
220;EM000007056018;Die Steuergesetze des Bundes (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze;Schweiz;'isbn';;2000-;
221;EM000008550907;Die Steuergesetze des Bundes Edition Zürich (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze und der steuerrechtlichen Gesetzgebung des Kantons Zürich;Schweiz;9783906842110;Edition Zürich, Ausgabe 2017, 17. Auflage, aktueller Stand: 10.1.2017;2017;
222;EM000008550908;Die Steuergesetze des Bundes (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze;Schweiz;9783906842103;Ausgabe 2017, 18. Auflage, aktueller Stand: 10.1.2017;2017;
223;EM000008554305;Die Steuergesetze des Bundes Edition Zürich (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze und der steuerrechtlichen Gesetzgebung des Kantons Zürich;Schweiz;9783906842011;Edition Zürich, Ausgabe 2016, 16. Auflage, aktueller Stand: 8.1.2016;2016;
224;EM000008192073;Forum für Steuerrecht;Universität St. Gallen Institut für Law and Economics;'isbn';;2001-;x
225;EM000007996666;Forum für Steuerrecht;Universität St. Gallen Institut für Law and Economics;'isbn';;2001-;x
226;EM000007999139;Forum für Steuerrecht;Universität St. Gallen Institut für Law and Economics;'isbn';;2001-;x
227;EM000007999140;Forum für Steuerrecht;Universität St. Gallen Institut für Law and Economics;'isbn';;2001-;x
228;EM000006331480;KENDRIS Jahrbuch ... zur Steuer- und Nachfolgeplanung;Kendris AG;9783725595143;;2006;x
229;EM000006328981;KENDRIS Jahrbuch ... zur Steuer- und Nachfolgeplanung;Kendris AG;9783725595143;;2006;x
230;EM000006328247;KENDRIS Jahrbuch ... zur Steuer- und Nachfolgeplanung;Kendris AG;9783725595143;;2006;x
231;EM000007697471;Manuel KENDRIS ... pour la planification fiscale et successorale;Roth, Rudolf;9783725564620;;2007-2017;x
232;EM000007697470;KENDRIS Jahrbuch ... zur Steuer- und Nachfolgeplanung;Kendris AG;9783725595143;;2006;x
233;EM000006649699;KENDRIS Jahrbuch ... zur Steuer- und Nachfolgeplanung;Kendris AG;9783725595143;;2006;x
234;EM000007997034;KENDRIS Jahrbuch ... zur Steuer- und Nachfolgeplanung;Kendris AG;9783725595143;;2006;x
235;EM000007999135;Forum für Steuerrecht;Universität St. Gallen Institut für Law and Economics;'isbn';;2001-;x
236;EM000007999134;Forum für Steuerrecht;Universität St. Gallen Institut für Law and Economics;'isbn';;2001-;x
237;EM000007999133;Forum für Steuerrecht;Universität St. Gallen Institut für Law and Economics;'isbn';;2001-;x
238;EM000005589848;Forum für Steuerrecht;Universität St. Gallen Institut für Law and Economics;'isbn';;2001-;x
239;EM000005589769;Forum für Steuerrecht;Universität St. Gallen Institut für Law and Economics;'isbn';;2001-;x
240;EM000007999138;Forum für Steuerrecht;Universität St. Gallen Institut für Law and Economics;'isbn';;2001-;x
241;EM000007999137;Forum für Steuerrecht;Universität St. Gallen Institut für Law and Economics;'isbn';;2001-;x
242;EM000007999136;Forum für Steuerrecht;Universität St. Gallen Institut für Law and Economics;'isbn';;2001-;x
243;EM000005589770;Forum für Steuerrecht;Universität St. Gallen Institut für Law and Economics;'isbn';;2001-;x
244;EM000005589771;Forum für Steuerrecht;Universität St. Gallen Institut für Law and Economics;'isbn';;2001-;x
245;EM000005589849;Forum für Steuerrecht;Universität St. Gallen Institut für Law and Economics;'isbn';;2001-;x
246;EM000007058861;Das schweizerische Steuerrecht Aufgaben und Lösungshinweise;Oertli, Mathias;9783856211998;3. überarb. und aktualisierte Aufl. (abgestimmt mit dem Grundriss 6. Aufl. 2010);2010;
247;EM000006343995;Das schweizerische Steuerrecht Aufgaben und Lösungshinweise;Mäusli-Allenspach, Peter;9783856211899;2., überarb. u. aktualisierte Aufl. 2009 inhaltlich abgestimmt mit dem Grundriss, 5. Auflage;2009;
248;EM000006343997;Das schweizerische Steuerrecht Aufgaben und Lösungshinweise;Mäusli-Allenspach, Peter;9783856211899;2., überarb. u. aktualisierte Aufl. 2009 inhaltlich abgestimmt mit dem Grundriss, 5. Auflage;2009;
249;EM000006343902;Das schweizerische Steuerrecht Aufgaben und Lösungshinweise;Mäusli-Allenspach, Peter;9783856211899;2., überarb. u. aktualisierte Aufl. 2009 inhaltlich abgestimmt mit dem Grundriss, 5. Auflage;2009;
250;EM000005847090;Das schweizerische Steuerrecht Aufgaben und Lösungshinweise;Mäusli-Allenspach, Peter;3856211713;;2006;
251;EM000006343117;Das schweizerische Steuerrecht ein Grundriss mit Beispielen;Mäusli-Allenspach, Peter;9783856211882;5. Aufl. überarb., aktualisiert und erw.;2008;
252;EM000005847083;Das schweizerische Steuerrecht ein Grundriss mit Beispielen;Mäusli-Allenspach, Peter;3856211705;3. Aufl., überarb. u. erweitert;2004;
253;EM000007996379;Das schweizerische Steuerrecht Aufgaben und Lösungshinweise;Oertli, Mathias;9783856212216;4. überarb. und aktual. Aufl., abgestimmt mit dem Grundriss 7. Aufl. 2013;2013;
254;EM000008121921;Das schweizerische Steuerrecht Aufgaben und Lösungshinweise;Oertli, Mathias;9783856212216;4. überarb. und aktual. Aufl., abgestimmt mit dem Grundriss 7. Aufl. 2013;2013;
255;EM000006649588;Das schweizerische Steuerrecht Aufgaben und Lösungshinweise;Oertli, Mathias;9783856211998;3. überarb. und aktualisierte Aufl. (abgestimmt mit dem Grundriss 6. Aufl. 2010);2010;
256;EM000007057449;Das schweizerische Steuerrecht ein Grundriss mit Beispielen;Mäusli-Allenspach, Peter;9783856211981;6. Auflage, aktualisiert und überarbeitet;[2010];
257;EM000006343116;Das schweizerische Steuerrecht ein Grundriss mit Beispielen;Mäusli-Allenspach, Peter;9783856211882;5. Aufl. überarb., aktualisiert und erw.;2008;
258;EM000006343108;Das schweizerische Steuerrecht ein Grundriss mit Beispielen;Mäusli-Allenspach, Peter;9783856211882;5. Aufl. überarb., aktualisiert und erw.;2008;
259;EM000008200305;Das schweizerische Steuerrecht;Mäusli-Allenspach, Peter;9783856212506;;2015-2020;
260;EM000008200304;Das schweizerische Steuerrecht;Mäusli-Allenspach, Peter;9783856212506;;2015-2020;
261;EM000008121920;Das schweizerische Steuerrecht ein Grundriss mit Beispielen;Mäusli-Allenspach, Peter;9783856212209;7., aktualisierte und überarbeitete Auflage;2013;
262;EM000007997722;Das schweizerische Steuerrecht ein Grundriss mit Beispielen;Mäusli-Allenspach, Peter;9783856212209;7., aktualisierte und überarbeitete Auflage;2013;
263;EM000007056083;Das schweizerische Steuerrecht ein Grundriss mit Beispielen;Mäusli-Allenspach, Peter;9783856211981;6. Auflage, aktualisiert und überarbeitet;[2010];
264;EM000008715917;Das schweizerische Steuerrecht;Mäusli-Allenspach, Peter;9783856212506;;2015-2020;
265;EM000008717475;Das schweizerische Steuerrecht;Mäusli-Allenspach, Peter;9783856212506;;2015-2020;
266;EM000008717477;Das schweizerische Steuerrecht;Mäusli-Allenspach, Peter;9783856212506;;2015-2020;
267;EM000008717479;Das schweizerische Steuerrecht;Mäusli-Allenspach, Peter;9783856212506;;2015-2020;
268;EM000008717476;Das schweizerische Steuerrecht;Mäusli-Allenspach, Peter;9783856212506;;2015-2020;
269;EM000008717478;Das schweizerische Steuerrecht;Mäusli-Allenspach, Peter;9783856212506;;2015-2020;
270;EM000008717480;Das schweizerische Steuerrecht;Mäusli-Allenspach, Peter;9783856212506;;2015-2020;
271;EM000008200363;Das schweizerische Steuerrecht;Mäusli-Allenspach, Peter;9783856212506;;2015-2020;
272;EM000008191687;Das schweizerische Steuerrecht;Mäusli-Allenspach, Peter;9783856212506;;2015-2020;
273;EM000006061618;Steuerrecht ... Best of zsis;Beusch, Michael;9783725555826;;2006;x
274;EM000007698171;Steuerrecht ... Best of zsis;Beusch, Michael;9783725555826;;2006;x
275;EM000006218042;Steuerrecht ... Best of zsis;Beusch, Michael;9783725555826;;2006;x
276;EM000007698170;Steuerrecht ... Best of zsis;Beusch, Michael;9783725555826;;2006;x
277;EM000006328999;Steuerrecht ... Best of zsis;Beusch, Michael;9783725555826;;2006;x
278;EM000007698168;Steuerrecht ... Best of zsis;Beusch, Michael;9783725555826;;2006;x
279;EM000005845733;Direkte Bundessteuer [vom 14. Dezember 1990];Schweiz Bundeskanzlei;'isbn';Stand am 20. September 2005;2006;
280;EM000005845734;Direkte Bundessteuer [vom 14. Dezember 1990];Schweiz Bundeskanzlei;'isbn';Stand am 20. September 2005;2006;
281;EM000006249061;Die Praxisänderung im Steuerrecht;Stampe, Michèle;9783725553525;;2007;
282;EM000007700980;Steuern in der Schweiz;Schweizerische Treuhandgesellschaft Coopers & Lybrand;'isbn';[Ausg. 1996, 7. Aufl.];1996;
283;EM000007700979;Steuern in der Schweiz;Schweizerische Treuhandgesellschaft Coopers & Lybrand;'isbn';[Ausg. 1996, 7. Aufl.];1996;
284;EM000007700978;Steuern in der Schweiz;Schweizerische Treuhandgesellschaft Coopers & Lybrand;'isbn';[Ausg. 1996, 7. Aufl.];1996;
285;EM000007700981;Steuern in der Schweiz;Schweizerische Treuhandgesellschaft Coopers & Lybrand;'isbn';[Ausg. 1996, 7. Aufl.];1996;
286;EM000007698169;Entwicklungen im Steuerrecht ... Urteile, aktuelle Themen, Hintergründe;Institut für Schweizerisches und Internationales Steuerrecht;9783725558155;;2009;x
287;EM000007203536;Die internationalen Steuererlasse des Bundes (inkl. OECD-Musterabkommen und Missbrauchsbeschluss) : [Kompaktsammlung ausgewählter schweizerischer Doppelbesteuerungsabkommen und Erlasse zum Schweizer Aussensteuerrecht];Schweiz;9783905901740;[Ausgabe] 2013/2014, 6. Auflage;[2013];
288;EM000007201566;Die internationalen Steuererlasse des Bundes (inkl. OECD-Musterabkommen und Missbrauchsbeschluss) : [Kompaktsammlung ausgewählter schweizerischer Doppelbesteuerungsabkommen und Erlasse zum schweizerischen Aussensteuerrecht];Schweiz;'isbn';Ausgabe 2011/2012, [5. Auflage];[2011];
289;EM000007698165;Die internationalen Steuererlasse des Bundes (inkl. OECD-Musterabkommen und Missbrauchsbeschluss) : Kompaktsammlung ausgewählter schweizerischer Doppelbesteuerungsabkommen und Erlasse zum schweizerischen Aussensteuerrecht;Schweiz;9783905901276;Ausgabe 2008/2009, [4. Auflage];[2008];
290;EM000006060811;Die internationalen Steuererlasse des Bundes (inkl. OECD-Musterabkommen und Missbrauchsbeschluss) : Kompaktsammlung ausgewählter schweizerischer Doppelbesteuerungsabkommen und Erlasse zum schweizerischen Aussensteuerrecht;Schweiz;3905901196;Ausgabe 2006/2007, [3. Auflage];[2006];
291;EM000007056124;Die Mehrwertsteuererlasse des Bundes gesammelte MWST-Publikationen der Eidg. Steuerverwaltung;Schweiz;9783905901504;[2. Auflage];2011-2012;
292;EM000007697440;Die Mehrwertsteuererlasse des Bundes gesammelte MWST-Publikationen der Eidg. Steuerverwaltung;Schweiz;9783905901504;[2. Auflage];2011-2012;
293;EM000008118182;Allgemeine Erlasse 2014 gesammelte MWST-Publikationen der Eidg. Steuerverwaltung : gesetzliche Grundlagen, 21 MWST-Infos, 14 Zoll-Infos;Schweiz;9783905901825;[4. Auflage], aktueller Stand: 1.5.2014;2014;
294;EM000007697581;Die Mehrwertsteuererlasse des Bundes gesammelte MWST-Publikationen der Eidg. Steuerverwaltung;Schweiz;9783905901504;[2. Auflage];2011-2012;
295;EM000007698568;Die Mehrwertsteuererlasse des Bundes gesammelte MWST-Publikationen der Eidg. Steuerverwaltung;Schweiz;9783905901504;[2. Auflage];2011-2012;
296;EM000006329296;Die Mehrwertsteuererlasse des Bundes gesammelte MWST-Publikationen der Eidg. Steuerverwaltung;Schweiz;9783905901320;[1. Auflage];2008-2009;
297;EM000006343552;Die Mehrwertsteuererlasse des Bundes gesammelte MWST-Publikationen der Eidg. Steuerverwaltung;Schweiz;9783905901320;[1. Auflage];2008-2009;
298;EM000007056929;Die Mehrwertsteuererlasse des Bundes gesammelte MWST-Publikationen der Eidg. Steuerverwaltung;Schweiz;9783905901320;[1. Auflage];2008-2009;
299;EM000008717710;Entwicklungen im schweizerischen Wirtschaftsrecht;Baker & McKenzie;'isbn';;1999-2018/2019;x
300;EM000008200221;Entwicklungen im schweizerischen Wirtschaftsrecht;Baker & McKenzie;'isbn';;1999-2018/2019;x
301;EM000007203522;Entwicklungen im schweizerischen Wirtschaftsrecht;Baker & McKenzie;'isbn';;1999-2018/2019;x
302;EM000007698844;Entwicklungen im schweizerischen Wirtschaftsrecht;Baker & McKenzie;'isbn';;1999-2018/2019;x
303;EM000007201471;Entwicklungen im schweizerischen Wirtschaftsrecht;Baker & McKenzie;'isbn';;1999-2018/2019;x
304;EM000006331955;Entwicklungen im schweizerischen Wirtschaftsrecht;Baker & McKenzie;'isbn';;1999-2018/2019;x
305;EM000006531154;Entwicklungen im schweizerischen Wirtschaftsrecht;Baker & McKenzie;'isbn';;1999-2018/2019;x
306;EM000006218142;Entwicklungen im schweizerischen Wirtschaftsrecht;Baker & McKenzie;'isbn';;1999-2018/2019;x
307;EM000005588019;Entwicklungen im schweizerischen Wirtschaftsrecht;Baker & McKenzie;'isbn';;1999-2018/2019;x
308;EM000004779824;Entwicklungen im schweizerischen Wirtschaftsrecht;Baker & McKenzie;'isbn';;1999-2018/2019;x
309;EM000007700916;Entwicklungen im schweizerischen Wirtschaftsrecht;Baker & McKenzie;'isbn';;1999-2018/2019;x
310;EM000005845532;Wirtschaftsverwaltungsrecht des Bundes;Müller, Georg;3719023699;4., überarb. Aufl.;2005;
311;EM000005845531;Wirtschaftsverwaltungsrecht des Bundes;Müller, Georg;3719023699;4., überarb. Aufl.;2005;
312;EM000007201106;Weltkrieg der Währungen wie Euro, Gold und Yuan um das Erbe des Dollar kämpfen;Eckert, Daniel D.;3898795950;3. Aufl.;2010;
313;EM000006060643;Wirtschaftsrecht;Girsberger, Daniel;3725550964;;2006;
314;EM000008121721;Jahrbuch des schweizerischen Konsumentenrechts JKR = Annuaire de droit suisse de la consommation : [ADC];Stauder, Bernd;'isbn';;1995;x
315;EM000008121722;Jahrbuch des schweizerischen Konsumentenrechts JKR = Annuaire de droit suisse de la consommation : [ADC];Stauder, Bernd;'isbn';;1995;x
316;EM000008121718;Jahrbuch des schweizerischen Konsumentenrechts JKR = Annuaire de droit suisse de la consommation : [ADC];Stauder, Bernd;'isbn';;1995;x
317;EM000008121719;Jahrbuch des schweizerischen Konsumentenrechts JKR = Annuaire de droit suisse de la consommation : [ADC];Stauder, Bernd;'isbn';;1995;x
318;EM000008121720;Jahrbuch des schweizerischen Konsumentenrechts JKR = Annuaire de droit suisse de la consommation : [ADC];Stauder, Bernd;'isbn';;1995;x
319;EM000004778859;Immaterialgüter- und Wettbewerbsrecht;Büren, Roland <<von>>;3727209399;2., vollst. überarb. Aufl. Roland von Büren, Eugen Marbach;2002;
320;EM000007203433;Immaterialgüter- und Wettbewerbsrecht;Büren, Roland <<von>>;9783727208195;3. Aufl. Roland von Büren, Eugen Marbach, Patrik Ducrey;2008;
321;EM000007203434;Immaterialgüter- und Wettbewerbsrecht;Büren, Roland <<von>>;9783727208195;3. Aufl. Roland von Büren, Eugen Marbach, Patrik Ducrey;2008;
322;EM000006329829;Immaterialgüter- und Wettbewerbsrecht;Büren, Roland <<von>>;9783727208195;3. Aufl. Roland von Büren, Eugen Marbach, Patrik Ducrey;2008;
323;EM000005208694;Immaterialgüter- und Wettbewerbsrecht;Büren, Roland <<von>>;3727209399;2., vollst. überarb. Aufl. Roland von Büren, Eugen Marbach;2002;
324;EM000007058236;Wettbewerbsrecht unter Einbezug des schweizerischen und europäischen Kartell- und Lauterkeitsrechts : kurz gefasste Darstellung (Repetitorium), Tafeln, Übungen mit Lösungen;Gallmann, Robert;9783280072219;;2010;
325;EM000008119860;Wettbewerbsrecht;Heinemann, Andreas;9783037516195;;2014;
326;EM000008191312;Wettbewerbsrecht mit europarechtlichen Bezügen und Immaterialgüterrecht : Textausgabe;Hager, Patricia;9783037517079;;2015;
327;EM000009008721;Kartellrecht : [Entwicklungen 2018];Vlcek, Michael;9783727226809;1. Auflage;[2019];x
328;EM000008713224;Kartellrecht : [Entwicklungen 2016];Vlcek, Michael;9783727281846;;[2017];x
329;EM000007203953;Kartellrecht : [Entwicklungen 2012];Vlcek, Michael;9783727281150;;2013;x
330;EM000007697358;Kartellrecht : [Entwicklungen 2011];Vlcek, Michael;9783727280948;;2012;x
331;EM000007056441;Kartellrecht : [Entwicklungen 2010];Weber, Rolf H.;9783727280726;;2011;x
332;EM000006331607;Kartellrecht : [Entwicklungen 2009];Weber, Rolf H.;9783727280443;;2010;x
333;EM000006531162;Kartellrecht : [Entwicklungen 2008];Weber, Rolf H.;9783727280276;;2009;x
334;EM000006218104;Kartellrecht : [Entwicklungen 2006];Weber, Rolf H.;3727220554;;2007;x
335;EM000005847109;Schweizerisches Kartellrecht;Zäch, Roger;3727207876;2. Aufl. unter Mitarb. von Reto A. Heizmann;2005;
336;EM000005846879;Schweizerisches Kartellrecht;Zäch, Roger;3727209151;;1999;
337;EM000005206095;Werberecht für den Praktiker;Pugatsch, Sigmund;3725542945;2. Auflage;2001;
338;EM000005848839;Werberecht für den Praktiker;Pugatsch, Sigmund;3725542945;2. Auflage;2001;
339;EM000006215721;Kommunikationsrecht.ch Handbuch des Schweizerischen Kommunikations- und Immaterialgüterrechts für Studium und Praxis;Baeriswyl, Bruno;9783728130617;;2007;
340;EM000006101534;Kommunikationsrecht.ch Handbuch des Schweizerischen Kommunikations- und Immaterialgüterrechts für Studium und Praxis;Baeriswyl, Bruno;9783728130617;;2007;
341;EM000006219530;Kommunikationsrecht.ch Handbuch des Schweizerischen Kommunikations- und Immaterialgüterrechts für Studium und Praxis;Baeriswyl, Bruno;9783728130617;;2007;
342;EM000006218128;Kommunikationsrecht.ch Handbuch des Schweizerischen Kommunikations- und Immaterialgüterrechts für Studium und Praxis;Baeriswyl, Bruno;9783728130617;;2007;
343;EM000007056711;Telekommunikationsrecht, Recht der audiovisuellen Medien, Stromversorgungsrecht [Entwicklungen 2010];Hettich, Peter;9783727280832;;2011;x
344;EM000006331602;Telekommunikationsrecht, Recht der audiovisuellen Medien, Stromversorgungsrecht [Entwicklungen 2009];Hettich, Peter;9783727280580;;2010;x
345;EM000006530064;Telekommunikationsrecht - Recht der audiovisuellen Medien - Stromversorgungsrecht [Entwicklungen 2008];Hettich, Peter;9783727280221;;2009;x
346;EM000006656397;Medienrecht für die Praxis vom Recherchieren bis zum Prozessieren: Rechtliche und ethische Normen für Medienschaffende;Studer, Peter;9783907955413;4., aktualisierte Aufl.;2011;
347;EM000006655172;Medienrecht für die Praxis vom Recherchieren bis zum Prozessieren : rechtliche und ethische Normen für Medienschaffende;Studer, Peter;390795582X;3. aktualisierte Aufl. (mit neuem Radio- und Fernsehgesetz);2006;
348;EM000007201299;Medienrecht für die Praxis vom Recherchieren bis zum Prozessieren: rechtliche und ethische Normen für Medienschaffende;Studer, Peter;3907955803;;2000;
349;EM000009412022;Textausgabe Sozialversicherungsrecht 2021 Gesetzesausgabe mit Verweisen und Anmerkungen;Schweiz;9783725581702;Ausgabe 2021 (Stand: 1. Januar 2021);2021;
350;EM000008200012;Sozialversicherungsrecht Studienausgabe : Gesetzesausgabe mit Verweisen und Anmerkungen;Burch, Stephanie;9783725562848;[3. Auflage], Ausgabe 2011, Stand: 1. Januar 2011;2011;
351;EM000006531887;Sozialversicherungsrecht Studienausgabe : Gesetzesausgabe mit Verweisen und Anmerkungen;Slavik-Siki, Eva;9783725558094;2. Aufl., Stand: 1. Januar 2009;2009;
352;EM000006218041;Sozialversicherungsrecht Studienausgabe;Gächter, Thomas;9783725552580;Ausgabe 2007, Stand: 1. Januar 2007;2007;
353;EM000006249072;Sozialversicherungsrecht Studienausgabe;Gächter, Thomas;9783725552580;Ausgabe 2007, Stand: 1. Januar 2007;2007;
354;EM000007202993;Sozialversicherungsrecht Textausgabe : Gesetzesausgabe mit Verweisen und Anmerkungen;Burch, Stephanie;9783725567706;Ausgabe 2013 Stand: 1.1.13, [4. Auflage];2013;
355;EM000009004199;Textausgabe Sozialversicherungsrecht 2019 Gesetzesausgabe mit Verweisen und Anmerkungen;Schweiz;9783725579518;Ausgabe 2019 Stand: 1. Januar 2019, [7. Auflage];2019;
356;EM000008552823;Textausgabe Sozialversicherungsrecht 2017 Gesetzesausgabe mit Verweisen und Anmerkungen;Schweiz;9783725576715;Ausgabe 2017 Stand: 1. Januar 2017, [6. Auflage];2017;
357;EM000008199289;Sozialversicherungsrecht Gesetzesausgabe mit Verweisen und Anmerkungen : Textausgabe;Meier, Michael E.;9783725572601;Ausgabe 2015 Stand: 1. Januar 2015, [5. Aufl.];2015;
358;EM000007697695;Bundesblatt;Schweiz;'isbn';;1848-;
359;EM000005206351;Arbeitsgesetz mit den Verordnungen 1-4;Schweiz Bundeskanzlei;'isbn';Ausg. 2005;2005;
360;EM000005206352;Arbeitsgesetz mit den Verordnungen 1-4;Schweiz Bundeskanzlei;'isbn';Ausg. 2005;2005;
361;EM000007056942;Repetitorium zum Sozialversicherungsrecht;Riemer-Kafka, Gabriela;'isbn';;2007-2008;
362;EM000006531720;Repetitorium zum Sozialversicherungsrecht;Riemer-Kafka, Gabriela;'isbn';;2007-2008;
363;EM000006328399;Repetitorium zum Sozialversicherungsrecht;Riemer-Kafka, Gabriela;'isbn';;2007-2008;
364;EM000006531778;Repetitorium zum Sozialversicherungsrecht;Riemer-Kafka, Gabriela;'isbn';;2007-2008;
365;EM000006328400;Repetitorium zum Sozialversicherungsrecht;Riemer-Kafka, Gabriela;'isbn';;2007-2008;
366;EM000006327762;Arbeitsrecht ein Ratgeber aus der Beobachter-Praxis;Bräunlich Keller, Irmtraud;3855690995;[4. Aufl.];1996;
367;EM000005206863;Arbeitsrecht ein Ratgeber aus der Beobachter-Praxis;Bräunlich Keller, Irmtraud;3855692521;[7. Aufl.];2002;
368;EM000007056011;Arbeitsrecht vom Vertrag bis zur Kündigung;Bräunlich Keller, Irmtraud;9783855694402;11., aktualisierte Aufl.;2011;
369;EM000006529070;Arbeitsrecht vom Vertrag bis zur Kündigung : ein Ratgeber aus der Beobachter-Praxis;Bräunlich Keller, Irmtraud;9783855694129;[10., erweiterte und aktualisierte Aufl.];2009;
370;EM000007203802;Arbeitsrecht vom Vertrag bis zur Kündigung : ein Ratgeber aus der Beobachter-Praxis;Bräunlich Keller, Irmtraud;9783855697717;12., aktualis. Aufl., Stand Gesetze und Rechtssprechung: Juni 2013;2013;
371;EM000005573485;Droit du travail aspects juridiques et pratiques;Favre Moreillon, Marianne;3719022870;;2004;
372;EM000006061518;Droit du travail aspects juridiques et pratiques;Favre Moreillon, Marianne;3719022870;;2004;
373;EM000006531378;Arbeitsrecht in der Schweiz;Geiser, Thomas;9783727286506;;2009;
374;EM000007999144;Arbeitsrecht in der Schweiz;Geiser, Thomas;9783727286735;2. Aufl.;2012;
375;EM000008200111;Arbeitsrecht in der Schweiz;Geiser, Thomas;9783727286735;2. Aufl.;2012;
376;EM000006532921;Arbeitsrecht in der Schweiz;Geiser, Thomas;9783727286735;2. Aufl.;2012;
377;EM000008200278;Arbeitsrecht in der Schweiz;Geiser, Thomas;9783035412314;3. Aufl. unter Mitarb. von Mathias Mauchle ... [et al.];2015;
378;EM000008200277;Arbeitsrecht in der Schweiz;Geiser, Thomas;9783035412314;3. Aufl. unter Mitarb. von Mathias Mauchle ... [et al.];2015;
379;EM000009009770;Arbeitsrecht in der Schweiz;Geiser, Thomas;9783727225901;4. Auflage;[2019];
380;EM000007203357;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
381;EM000007056882;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
382;EM000006532192;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
383;EM000007057027;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
384;EM000006329992;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
385;EM000006328732;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
386;EM000006330155;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
387;EM000006217308;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
388;EM000005847814;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
389;EM000005208663;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
390;EM000005206178;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
391;EM000004778851;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
392;EM000005206379;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
393;EM000007999191;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
394;EM000007999190;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
395;EM000007999193;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
396;EM000007999192;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
397;EM000005589783;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
398;EM000008548316;Rechtliches Risikomanagement für Beschäftigungsverhältnisse wie Risiken aus Beschäftigungsverhältnissen erkannt, minimiert, transferiert und kontrolliert werden können;Kuhn, Michael;9783725559220;;2009;
399;EM000007201776;Rechtliches Risikomanagement für Beschäftigungsverhältnisse wie Risiken aus Beschäftigungsverhältnissen erkannt, minimiert, transferiert und kontrolliert werden können;Kuhn, Michael;9783725559220;;2009;
400;EM000005208104;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
401;EM000005589784;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
402;EM000005208105;ArbR Mitteilungen des Instituts für Schweizerisches Arbeitsrecht;Institut für Schweizerisches Arbeitsrecht;'isbn';;1983;x
