index;barcode;title;author;isbn;complete_edition;date_of_publication;keep
139;EM000007698219;Migrationsrecht Kommentar : Schweizerisches Ausländergesetz (AuG) und Freizügigkeitsabkommen (FZA) mit weiteren Erlassen;Zünd, Andreas;9783280072837;3., aktualisierte Auflage, 2. Druckrate;2012;
140;EM000008709344;Datenschutztagung 2017 Baustelle Datenschutz - Observation als Brennpunkt;Datenschutztagung 2017 Zürich;9783037519684;;[2017];x
141;EM000007698160;Steuerrecht 2009 DBG, StHG, VStG, StG, MWSTG, OECD-MA, StG ZH : mit Verordnungen, Kreisschreiben, Merkblättern, Rundschreiben und diversen Service-Seiten : Textausgabe, mit Querverweisen, Sachregister und Anmerkungen;Hinny, Pascal;9783725557776;2. Aufl., Stand: 1. Januar 2009;2009;
142;EM000007202279;Droit fiscal 2012 LIFD, LHID, LIA, LT, LTVA, MC-OCDE, Lois VD et GE avec ordonnances, circulaires, notices, lettres-circulaires et diverses pages pratiques;Eckert, Jean-Blaise;9783725564811;;2012;
143;EM000007056073;Steuerrecht 2011 DBG, StHG, VStG, StG, MWSTG, OECD-MA, StG ZH : mit Verordnungen, Kreisschreiben, Merkblättern, Rundschreiben und diversen Service-Seiten : Textausgabe mit Querverweisen, Sachregister und Anmerkungen;Hinny, Pascal;9783725562435;Stand: 1. Januar 2011;2011;
144;EM000006331523;Steuerrecht 2010 DBG, StHG, VStG, StG, MWSTG, OECD-MA, StG ZH : mit Verordnungen, Kreisschreiben, Merkblättern, Rundschreiben und diversen Service-Seiten : Textausgabe mit Querverweisen, Sachregister und Anmerkungen;Hinny, Pascal;9783725559787;[3. Auflage], Stand: 1. Januar 2010;2010;
145;EM000007201078;Droit fiscal 2011 LIFD, LHID, LIA, LT, LTVA, MC-OCDE, Lois VD et GE avec ordonnances, circulaires, notices, lettres-circulaires et diverses pages pratiques : recueil de textes avec renvois, index et remarques;Eckert, Jean-Blaise;9783725562442;;2011;
146;EM000006331524;Droit fiscal 2010 LIFD, LHID, LIA, LT, LTVA, MC-OCDE, lois VD et GE : avec ordonnances, circulaires, notices, lettres-circulaires et diverses pages pratiques : recueil de textes avec renvois, index et remarques;Eckert, Jean-Blaise;9783725559794;Etat: 1er janvier 2010;2010;
147;EM000007698997;Steuerrecht 2013 DBG, StHG, VStG, StG, MWSTG, OECD-MA, StG ZH : mit Verordnungen, Kreisschreiben, Merkblättern, Rundschreiben und diversen Service-Seiten : Textausgabe, mit Querverweisen, Sachregister und Anmerkungen;Hinny, Pascal;9783725567010;[6. Aufl.], Stand: 1. Januar 2013;2013;
148;EM000007056628;Steuerrecht 2012 DBG, StHG, VStG, StG, MWSTG, OECD-MA, StG ZH : mit Verordnungen, Kreisschreiben, Merkblättern, Rundschreiben und diversen Service-Seiten : Textausgabe mit Querverweisen, Sachregister und Anmerkungen;Hinny, Pascal;9783725564767;Stand: 1. Januar 2012;2012;
149;EM000008200089;Steuerrecht 2015 DBG, StHG, VStG, StG, MWSTG, OECD-MA, StG ZH : mit Verordnungen, Kreisschreiben, Merkblättern, Rundschreiben und diversen Service-Seiten;Hinny, Pascal;9783725571352;[Ausg. 2015], Stand: 1. Januar 2015;2015;
150;EM000007999224;Steuerrecht 2014 DBG, StHG, VStG, StG, MWSTG, OECD-MA, StG ZH : mit Verordnungen, Kreisschreiben, Merkblättern, Rundschreiben und diversen Service-Seiten : Textausgabe, mit Querverweisen, Sachregister und Anmerkungen;Hinny, Pascal;9783725569427;[Ausg. 2014], Stand: 1. Januar 2014;2014;
151;EM000009226621;Steuerrecht 2020 DBG, StHG, VStG, StG, MWSTG, OECD-MA, StG ZH : mit Verordnungen, Kreisschreiben, Merkblättern, Rundschreiben und diversen Service-Seiten : Textausgabe mit Querverweisen, Sachregister und Anmerkungen;Schweiz;9783725579914;Stand: 1. Januar 2020;[2020];
152;EM000009004833;Steuerrecht 2019 DBG, StHG, VStG, StG, MWSTG, OECD-MA, StG ZH : mit Verordnungen, Kreisschreiben, Merkblättern, Rundschreiben und diversen Service-Seiten : Textausgabe mit Querverweisen, Sachregister und Anmerkungen;Schweiz;9783725579495;Stand: 1. Januar 2019;2019;
